Full Name,Workplace,Location,Connections,Followers,Number of Experiences,Number of Educations,Number of Skills,Number of Projects,Number of Publications,Number of Languages,Number of Interests,Average Likes per Post,Average Comments per Post,Average Shares per Post,Total Posts,Engagement Rate (%),Last Active Date,Post Frequency,Most Engaged Post Type,Years of Experience,Job Changes in Last 5 Years,Promotion Count,Industry,Sentiment of Recent Posts,LinkedIn Profile Popularity Score
Aarav Sharma,Freelancer,Germany,3138,1191,5,1,25,9,3,2,19,458,60,13,477,9.17,07-04-2033,Rarely,Article,3,1,0,Healthcare,Neutral,78.71
Nitin Saxena,Freelancer,Germany,3322,10917,12,2,19,2,4,3,9,485,24,9,46,2.44,08-04-2033,Monthly,Video,24,0,0,Tech,Negative,10.31
Pooja Choudhary,Startup,Canada,3037,16192,7,3,40,0,2,1,5,20,79,25,256,9.52,09-04-2033,Monthly,Video,9,0,2,Tech,Positive,39.24
Pallavi Thakur,Amazon,India,1929,12416,5,4,35,9,2,2,8,359,40,6,226,1.76,10-04-2033,Rarely,Article,27,4,1,Marketing,Negative,55.5
Nidhi Goel,Google,India,3825,13589,3,1,19,7,2,1,19,286,71,35,319,2.97,11-04-2033,Rarely,Text,7,1,1,Consulting,Negative,35.38
Priya Verma,Startup,Canada,3667,18181,4,1,35,1,4,3,12,292,85,15,135,1.47,12-04-2033,Rarely,Text,10,4,1,Education,Neutral,36.21
Rajesh Gupta,Microsoft,Canada,658,11132,9,2,23,4,2,1,13,56,55,24,320,4.8,13-04-2033,Weekly,Image,1,3,0,Education,Negative,79.12
Rohan Iyer,Tesla,UK,1453,15723,1,1,23,5,4,1,1,320,59,0,488,7.47,14-04-2033,Daily,Text,3,0,1,Education,Positive,85.92
Sandeep Patil,Tesla,Canada,1209,11495,1,4,17,4,1,3,7,206,14,45,405,7.43,15-04-2033,Rarely,Image,11,1,1,Consulting,Positive,99.43
Aniket Bose,Amazon,UK,2116,8902,5,3,7,2,2,2,7,139,61,26,354,7.45,16-04-2033,Daily,Image,14,2,2,Tech,Neutral,86.82
Aakash Sinha,Facebook,Canada,3324,5298,14,2,17,0,0,1,12,281,7,25,360,1.22,17-04-2033,Rarely,Text,4,0,1,Marketing,Neutral,12.58
Divya Menon,Facebook,Germany,2554,2020,2,2,18,7,3,4,10,305,76,3,415,7.13,18-04-2033,Daily,Text,28,1,1,Consulting,Negative,59.81
Sneha Joshi,Startup,UK,4328,15485,4,1,13,9,3,4,10,132,47,44,398,3.56,19-04-2033,Rarely,Text,9,2,1,Tech,Negative,48.53
Sneha Joshi,Tesla,Australia,2704,19101,10,1,25,7,3,1,1,96,89,39,63,2.89,20-04-2033,Monthly,Video,7,3,2,Consulting,Neutral,18.85
Sneha Joshi,Microsoft,USA,1152,11367,6,1,9,1,2,3,12,294,75,27,116,0.55,21-04-2033,Rarely,Image,23,2,0,Healthcare,Neutral,52.2
Kavya Deshmukh,Startup,Germany,4917,2715,14,4,9,6,0,2,17,23,77,25,340,4.05,22-04-2033,Rarely,Article,27,0,2,Healthcare,Negative,83.38
Aarav Sharma,Amazon,India,4944,10099,12,2,42,4,3,1,10,476,26,7,365,5.27,23-04-2033,Rarely,Text,14,0,1,Healthcare,Neutral,34.38
Karthik Nair,Tesla,Germany,2832,10750,9,3,38,0,4,3,13,150,79,16,386,0.74,24-04-2033,Rarely,Article,6,1,1,Finance,Negative,40.36
Siddharth Pandey,Freelancer,Germany,2183,9582,1,2,41,9,3,1,2,316,41,24,401,2.48,25-04-2033,Monthly,Video,4,4,0,Finance,Neutral,75.76
Aditi Chauhan,Microsoft,India,3314,12713,3,1,18,7,3,2,10,426,70,37,396,7.93,26-04-2033,Weekly,Image,27,2,1,Healthcare,Neutral,89.77
Kavya Deshmukh,Facebook,UK,4887,17132,13,2,42,8,3,4,10,397,96,25,307,5.43,27-04-2033,Rarely,Image,20,3,1,Healthcare,Positive,78.83
Neha Malhotra,Google,UK,842,5876,3,4,39,1,1,1,2,395,21,47,68,7.85,28-04-2033,Weekly,Article,1,0,2,Consulting,Negative,15.32
Aniket Bose,Freelancer,USA,2703,19606,11,2,38,6,2,3,6,298,63,17,146,5.17,29-04-2033,Rarely,Article,6,2,2,Consulting,Negative,19.59
Harsh Vardhan,Startup,Germany,3134,6594,8,4,13,6,2,1,19,358,54,2,230,1.23,30-04-2033,Rarely,Image,10,2,0,Consulting,Negative,54.47
Aniket Bose,Startup,UK,1505,6870,3,1,38,1,1,4,2,321,32,31,353,7.74,01-05-2033,Weekly,Text,15,3,2,Tech,Negative,90.34
Harsh Vardhan,Google,USA,4369,15807,13,1,20,4,0,2,15,200,23,21,416,9.26,02-05-2033,Rarely,Article,1,4,1,Tech,Neutral,66.84
Rohan Iyer,Freelancer,Australia,1461,6362,8,2,8,2,1,2,3,347,87,31,336,9.15,03-05-2033,Monthly,Video,6,1,0,Finance,Neutral,40.92
Neha Malhotra,Amazon,UK,1398,3455,10,1,29,0,0,3,7,314,18,25,250,7,04-05-2033,Daily,Text,13,2,1,Healthcare,Negative,76.3
Karthik Nair,Facebook,Germany,3080,13161,9,2,39,0,1,3,15,428,58,23,362,9.75,05-05-2033,Monthly,Article,11,2,1,Finance,Negative,93.23
Meera Rao,Facebook,USA,709,18630,2,3,47,7,4,2,9,246,66,43,496,8.79,06-05-2033,Weekly,Image,4,0,2,Finance,Neutral,30.36
Swati Rajan,Startup,India,1942,2672,5,4,40,2,1,1,15,452,59,38,403,3.17,07-05-2033,Monthly,Video,18,3,1,Education,Neutral,78.55
Manish Kulkarni,Facebook,Canada,2894,14620,6,1,38,2,2,1,5,22,90,11,377,5.05,08-05-2033,Daily,Article,8,1,1,Healthcare,Neutral,15.33
Vikram Mehta,Amazon,Germany,1481,1797,3,2,23,4,2,2,1,324,54,15,203,0.92,09-05-2033,Rarely,Text,14,4,0,Finance,Negative,29.68
Neha Malhotra,Google,Germany,4329,19126,2,4,31,8,0,1,2,406,91,30,160,1.37,10-05-2033,Rarely,Article,15,3,1,Tech,Negative,46.02
Manish Kulkarni,Google,USA,556,17737,7,3,32,8,3,3,17,308,93,33,228,8.28,11-05-2033,Rarely,Image,19,4,0,Healthcare,Negative,22.89
Tanvi Agarwal,Amazon,USA,1173,741,7,1,19,8,3,3,13,122,4,37,27,5.99,12-05-2033,Rarely,Article,27,3,2,Marketing,Neutral,54.93
Sneha Joshi,Facebook,Canada,3852,16390,1,4,32,2,3,3,16,154,78,34,468,4.67,13-05-2033,Daily,Text,9,2,0,Education,Negative,32.87
Vikram Mehta,Startup,Canada,1672,6147,12,3,34,7,4,4,2,147,5,27,275,2.24,14-05-2033,Monthly,Video,18,4,1,Healthcare,Positive,61.05
Isha Bansal,Freelancer,Germany,1949,9326,4,1,15,0,1,4,8,310,8,10,225,1.11,15-05-2033,Daily,Video,18,4,1,Education,Neutral,36.6
Swati Rajan,Freelancer,Australia,2298,1959,7,3,36,2,0,2,13,362,52,6,42,7.94,16-05-2033,Weekly,Image,7,4,0,Tech,Positive,27.14
Yashwant Joshi,Tesla,Australia,4658,7714,7,2,16,4,2,1,3,196,65,32,251,4.83,17-05-2033,Daily,Image,7,3,2,Marketing,Positive,43.2
Aakash Sinha,Freelancer,Canada,3279,19830,13,3,8,0,4,1,8,251,90,40,341,2.56,18-05-2033,Daily,Text,29,4,1,Finance,Negative,88.08
Aniket Bose,Startup,Canada,3561,8116,13,3,48,3,3,2,17,34,94,15,419,6.69,19-05-2033,Daily,Article,11,3,0,Finance,Positive,10.08
Simran Kaur,Tesla,Canada,3121,14762,12,4,47,8,1,4,6,125,53,23,210,8.99,20-05-2033,Daily,Video,19,0,1,Finance,Positive,43.73
Simran Kaur,Startup,Australia,3367,19570,14,4,30,8,1,1,2,205,96,47,340,6.94,21-05-2033,Daily,Text,16,2,1,Education,Positive,48.34
Swati Rajan,Tesla,India,2250,11645,2,4,10,5,4,3,7,488,74,17,145,0.58,22-05-2033,Monthly,Image,20,4,1,Marketing,Neutral,95.49
Shweta Bhattacharya,Startup,USA,548,19121,9,2,37,6,4,2,17,408,70,7,453,2.17,23-05-2033,Weekly,Video,9,0,2,Marketing,Positive,21.62
Vikram Mehta,Freelancer,Australia,553,18467,3,3,21,4,1,1,9,393,61,26,299,8.4,24-05-2033,Daily,Text,16,4,2,Marketing,Negative,15.01
Manish Kulkarni,Microsoft,Australia,4109,14385,1,1,18,6,0,4,7,154,52,8,376,4.58,25-05-2033,Weekly,Image,2,0,1,Healthcare,Positive,39.43
Priya Verma,Facebook,India,963,311,4,3,7,2,4,1,16,404,38,3,57,9.92,26-05-2033,Daily,Image,18,0,1,Finance,Negative,93.67
Rohan Iyer,Freelancer,India,4120,17690,13,4,27,5,1,1,5,373,71,16,99,6.08,27-05-2033,Rarely,Text,28,4,0,Healthcare,Neutral,43.32
Priya Verma,Tesla,Germany,2617,19543,2,1,46,8,3,1,13,231,0,43,194,5.01,28-05-2033,Monthly,Image,7,4,2,Education,Negative,28.38
Abhishek Tiwari,Microsoft,Canada,3206,16378,2,3,40,2,1,2,6,403,46,7,152,6.38,29-05-2033,Daily,Article,23,2,1,Education,Positive,10.43
Priya Verma,Microsoft,Canada,4340,3801,8,2,39,1,1,1,9,147,12,10,469,3.86,30-05-2033,Monthly,Article,22,3,2,Finance,Neutral,1.34
Meera Rao,Freelancer,USA,2736,16463,10,4,14,7,2,3,15,314,20,26,291,4.88,31-05-2033,Weekly,Article,29,1,0,Marketing,Neutral,35.29
Yashwant Joshi,Startup,Germany,3982,11524,1,1,37,2,0,3,9,238,46,19,177,5.88,01-06-2033,Monthly,Text,22,4,2,Education,Negative,98.69
Nidhi Goel,Tesla,Germany,1820,2408,3,3,6,7,1,3,1,133,78,33,318,7.39,02-06-2033,Rarely,Text,5,3,2,Consulting,Negative,57.45
Priya Verma,Freelancer,UK,493,8472,8,4,20,4,0,1,5,314,59,35,197,1.84,03-06-2033,Daily,Video,8,3,0,Consulting,Neutral,27.71
Sneha Joshi,Amazon,UK,2929,12050,7,4,5,7,1,3,5,173,80,4,95,6.83,04-06-2033,Rarely,Article,21,3,2,Education,Negative,45.54
Aarav Sharma,Google,USA,2792,6073,4,3,30,1,0,4,12,98,3,48,233,8.93,05-06-2033,Rarely,Video,22,0,2,Marketing,Positive,61.47
Nitin Saxena,Facebook,Canada,4111,7827,9,2,28,8,1,1,4,494,62,10,191,3.27,06-06-2033,Daily,Image,7,1,0,Healthcare,Negative,2.75
Shweta Bhattacharya,Microsoft,Australia,2613,3147,4,2,25,1,4,4,16,237,4,5,364,2.97,07-06-2033,Daily,Text,23,4,2,Finance,Positive,6.83
Arjun Reddy,Facebook,Canada,674,11985,12,4,41,3,1,2,13,197,78,38,50,7.82,08-06-2033,Weekly,Text,7,4,1,Consulting,Positive,48.93
Tanvi Agarwal,Facebook,USA,2507,7401,5,3,28,7,3,4,13,453,96,49,97,7.24,09-06-2033,Daily,Article,7,3,1,Education,Negative,11.02
Aniket Bose,Facebook,India,130,2582,7,3,20,6,4,3,13,59,29,12,167,5.25,10-06-2033,Daily,Article,28,1,1,Consulting,Negative,59.15
Rahul Mishra,Tesla,India,1478,12806,14,2,14,3,2,2,1,140,53,37,233,2.81,11-06-2033,Monthly,Video,24,1,0,Tech,Positive,74
Meera Rao,Facebook,Germany,4439,6611,1,3,20,3,1,2,6,101,1,39,150,1.76,12-06-2033,Monthly,Video,17,4,2,Healthcare,Neutral,63.26
Arjun Reddy,Microsoft,Canada,65,8639,13,1,31,3,1,3,18,323,37,12,410,6.19,13-06-2033,Daily,Image,28,3,0,Marketing,Neutral,33.13
Divya Menon,Google,Germany,4634,10734,7,1,10,0,0,3,2,253,53,43,182,6.72,14-06-2033,Daily,Video,27,1,2,Education,Positive,46.95
Arjun Reddy,Microsoft,India,3909,12523,12,2,23,4,4,3,7,490,87,9,453,6.67,15-06-2033,Rarely,Article,7,2,0,Education,Positive,73.32
Ananya Kapoor,Tesla,Germany,4250,9056,7,2,18,5,2,1,11,66,12,11,242,5.73,16-06-2033,Monthly,Video,4,3,2,Tech,Negative,72.39
Aniket Bose,Google,UK,4822,1688,14,4,35,6,4,4,18,276,96,4,48,3.12,17-06-2033,Daily,Text,27,2,0,Finance,Negative,63.64
Swati Rajan,Startup,Germany,1106,9526,11,2,25,2,1,4,3,83,76,24,449,2.27,18-06-2033,Daily,Text,17,0,2,Healthcare,Positive,10.23
Divya Menon,Tesla,UK,4951,13004,13,4,20,5,0,3,6,251,96,30,399,0.7,19-06-2033,Daily,Image,19,2,2,Education,Neutral,82
Yashwant Joshi,Freelancer,UK,4777,15482,9,3,32,8,2,3,4,156,75,28,113,7.46,20-06-2033,Monthly,Article,2,0,2,Education,Negative,10.61
Meera Rao,Microsoft,India,1970,6706,1,2,24,1,1,3,12,423,78,15,465,7.97,21-06-2033,Daily,Text,19,0,1,Healthcare,Negative,56.64
Siddharth Pandey,Facebook,Germany,408,6115,9,4,10,1,4,4,7,488,47,44,305,2.26,22-06-2033,Rarely,Article,27,3,1,Finance,Neutral,42.78
Ananya Kapoor,Microsoft,Germany,3010,5074,4,4,22,5,4,4,9,149,50,25,463,7.47,23-06-2033,Weekly,Text,18,3,2,Healthcare,Neutral,9.32
Pooja Choudhary,Facebook,USA,3073,4380,5,4,6,9,0,3,15,118,3,20,191,8.56,24-06-2033,Rarely,Image,15,2,2,Marketing,Neutral,72
Ananya Kapoor,Tesla,Germany,2299,12159,13,2,6,9,0,4,6,120,5,18,428,1.21,25-06-2033,Monthly,Article,6,4,0,Tech,Positive,19.34
Arjun Reddy,Amazon,Australia,2438,17153,12,4,16,3,3,1,6,251,79,13,54,4.28,26-06-2033,Weekly,Video,20,0,0,Finance,Positive,37.03
Yashwant Joshi,Facebook,Canada,2781,7002,5,4,46,6,4,3,8,281,41,22,70,8.81,27-06-2033,Monthly,Article,11,2,1,Healthcare,Neutral,95.64
Shweta Bhattacharya,Microsoft,India,3893,18645,1,3,16,1,1,2,15,78,99,48,453,6.9,28-06-2033,Rarely,Image,25,3,2,Education,Positive,91.84
Meera Rao,Google,Germany,1891,16453,3,1,37,4,1,1,18,191,14,4,471,5.8,29-06-2033,Rarely,Text,20,3,0,Education,Neutral,71.69
Varun Bhatia,Google,Germany,3434,18812,2,2,27,3,3,1,4,121,28,38,223,8.94,30-06-2033,Daily,Text,13,3,2,Finance,Negative,11.16
Abhishek Tiwari,Freelancer,USA,1437,11619,2,2,12,9,0,3,7,106,31,35,32,3.44,01-07-2033,Rarely,Article,9,4,1,Education,Negative,31.82
Isha Bansal,Tesla,UK,3064,6082,7,1,35,4,1,1,4,45,57,39,194,8.43,02-07-2033,Daily,Image,25,2,2,Tech,Negative,36.92
Sneha Joshi,Microsoft,India,4141,12906,11,2,16,6,2,1,13,168,58,16,343,0.73,03-07-2033,Rarely,Article,17,3,1,Consulting,Neutral,60.49
Meera Rao,Amazon,USA,2268,13439,5,2,29,2,0,4,6,89,51,6,290,9.53,04-07-2033,Weekly,Image,9,0,1,Marketing,Negative,54.15
Rajesh Gupta,Amazon,UK,1788,15372,3,1,28,9,0,4,19,170,43,29,153,5.06,05-07-2033,Monthly,Image,24,2,0,Marketing,Neutral,47.24
Aditi Chauhan,Startup,India,1475,11532,1,1,32,7,4,1,5,116,28,45,474,4.44,06-07-2033,Daily,Video,28,3,2,Consulting,Neutral,57.31
Sandeep Patil,Tesla,USA,176,9534,14,3,45,4,0,3,9,389,39,6,55,1.11,07-07-2033,Rarely,Video,7,3,1,Consulting,Negative,35.69
Shweta Bhattacharya,Amazon,USA,1819,4033,4,3,41,4,0,3,12,428,84,38,250,8.44,08-07-2033,Weekly,Video,15,1,2,Education,Positive,59.65
Siddharth Pandey,Amazon,Canada,4054,15492,5,2,12,6,0,4,19,265,40,34,403,1.73,09-07-2033,Monthly,Text,12,2,0,Consulting,Positive,6.91
Karthik Nair,Facebook,India,2192,5153,6,2,25,0,1,2,7,488,25,10,107,8.16,10-07-2033,Rarely,Article,19,1,0,Consulting,Positive,97.76
Karthik Nair,Google,Australia,1345,16296,11,4,47,6,2,4,1,234,78,28,14,2.59,11-07-2033,Daily,Article,20,4,0,Healthcare,Positive,71.88
Ritika Jain,Facebook,USA,4468,16950,6,1,26,0,0,4,13,392,30,9,298,0.93,12-07-2033,Rarely,Text,14,3,0,Education,Positive,34.5
Aakash Sinha,Facebook,India,4445,6828,4,3,34,8,0,1,1,80,94,9,236,3.48,13-07-2033,Daily,Article,2,1,2,Healthcare,Negative,42.23
Rajesh Gupta,Facebook,India,789,5761,14,4,44,8,2,1,15,161,71,49,481,9.71,14-07-2033,Weekly,Image,1,3,1,Healthcare,Neutral,9.36
Ananya Kapoor,Google,Canada,2663,3406,2,3,37,2,3,4,9,365,58,28,54,7.57,15-07-2033,Weekly,Text,28,1,2,Consulting,Negative,77.96
Rohan Iyer,Microsoft,UK,2864,6214,4,4,27,5,3,3,19,488,11,5,271,3.65,16-07-2033,Daily,Video,5,3,2,Healthcare,Neutral,95.51
Priya Verma,Startup,UK,330,2052,2,2,12,0,0,2,13,87,37,0,123,5.48,17-07-2033,Weekly,Video,20,2,0,Marketing,Neutral,41.38
Sandeep Patil,Startup,India,1642,13316,6,3,30,8,2,2,9,329,5,18,183,0.63,18-07-2033,Daily,Article,18,1,0,Finance,Neutral,98.11
Aniket Bose,Tesla,India,2786,2610,5,3,36,3,2,3,19,280,54,24,71,5.99,19-07-2033,Monthly,Video,6,4,1,Education,Neutral,65.03
Siddharth Pandey,Microsoft,USA,3471,18759,9,1,37,0,0,2,10,88,69,7,268,6.57,20-07-2033,Monthly,Image,6,1,1,Marketing,Negative,57.55
Varun Bhatia,Tesla,Germany,2420,5542,11,1,46,7,0,4,13,275,18,35,16,9.8,21-07-2033,Daily,Text,8,2,0,Education,Positive,69.77
Pallavi Thakur,Facebook,UK,1271,1751,2,4,18,4,0,2,14,211,14,22,227,5.05,22-07-2033,Weekly,Video,16,4,0,Finance,Neutral,3.11
Divya Menon,Microsoft,Germany,3637,15164,1,3,45,2,2,3,7,429,15,46,247,6.02,23-07-2033,Weekly,Article,22,0,1,Healthcare,Negative,57.52
Tanvi Agarwal,Microsoft,India,2531,19854,4,3,23,9,4,1,3,70,54,7,243,7.26,24-07-2033,Daily,Article,8,3,2,Education,Neutral,33.78
Abhishek Tiwari,Google,Germany,2854,14743,6,2,17,4,0,3,10,394,97,0,184,5.3,25-07-2033,Monthly,Video,14,4,1,Tech,Neutral,79.7
Nidhi Goel,Freelancer,USA,3121,3357,13,1,39,4,3,4,17,298,3,3,76,6.48,26-07-2033,Rarely,Article,7,2,0,Tech,Neutral,91.97
Kavya Deshmukh,Freelancer,Australia,3700,14417,4,4,38,5,0,1,10,294,51,1,247,8.12,27-07-2033,Weekly,Video,1,4,0,Marketing,Positive,71.72
Isha Bansal,Google,Canada,1867,4873,2,2,14,7,2,4,5,391,71,7,437,9.5,28-07-2033,Weekly,Video,1,2,1,Consulting,Negative,45.79
Simran Kaur,Microsoft,Germany,3603,19463,5,1,15,0,1,1,9,193,69,47,311,6.77,29-07-2033,Weekly,Video,11,1,1,Healthcare,Neutral,12.09
Yashwant Joshi,Tesla,Canada,4751,14983,10,3,40,5,0,3,12,308,4,19,416,9.02,30-07-2033,Daily,Image,11,0,1,Healthcare,Negative,65.32
Tanvi Agarwal,Microsoft,Canada,1261,19044,9,1,10,4,0,2,2,440,64,2,353,0.97,31-07-2033,Weekly,Video,21,1,2,Finance,Negative,31.02
Ritika Jain,Startup,UK,3698,11069,5,2,35,2,0,2,3,247,75,1,234,9.55,01-08-2033,Monthly,Video,16,1,1,Consulting,Neutral,50.68
Ananya Kapoor,Amazon,India,4618,19171,11,1,27,7,0,3,15,146,80,34,66,1.56,02-08-2033,Monthly,Article,16,1,1,Finance,Negative,5.61
Divya Menon,Google,Canada,2763,6098,7,4,39,0,3,3,13,443,80,22,465,3.53,03-08-2033,Weekly,Video,22,3,0,Marketing,Neutral,97.92
Karthik Nair,Freelancer,USA,2882,7145,10,1,17,2,1,1,7,138,19,31,232,6.78,04-08-2033,Monthly,Text,18,2,1,Education,Neutral,34.99
Vikram Mehta,Freelancer,UK,1952,2120,14,3,46,5,3,1,4,22,33,18,78,2.22,05-08-2033,Daily,Text,29,0,2,Education,Neutral,59.4
Swati Rajan,Startup,USA,4860,9227,4,2,32,5,2,2,3,266,61,14,494,7,06-08-2033,Monthly,Text,20,3,2,Tech,Negative,56.12
Sandeep Patil,Startup,Germany,3012,14451,12,4,36,7,0,3,17,386,76,38,153,4.27,07-08-2033,Weekly,Text,4,0,0,Healthcare,Positive,94.59
Nitin Saxena,Microsoft,USA,3206,8355,5,1,17,9,0,2,5,235,38,32,455,8.95,08-08-2033,Daily,Image,15,1,1,Finance,Neutral,46.36
Meera Rao,Google,Canada,3904,12764,1,4,36,2,3,3,4,384,1,12,349,2.96,09-08-2033,Monthly,Image,25,4,2,Tech,Neutral,5.09
Pallavi Thakur,Google,India,1867,14595,5,2,7,6,0,1,19,346,39,36,243,8.85,10-08-2033,Rarely,Video,14,1,0,Consulting,Positive,24.44
Rahul Mishra,Microsoft,Germany,172,7531,4,3,13,1,4,4,2,356,29,9,441,9.66,11-08-2033,Monthly,Image,16,3,0,Healthcare,Negative,96.74
Ritika Jain,Microsoft,UK,3031,9680,11,3,44,5,2,1,13,74,76,9,93,5.96,12-08-2033,Rarely,Text,25,2,0,Consulting,Negative,81.05
Ananya Kapoor,Startup,UK,2409,3541,6,3,46,4,0,2,19,415,15,28,320,1.39,13-08-2033,Rarely,Text,7,3,0,Education,Neutral,73.14
Arjun Reddy,Freelancer,India,1682,13486,7,2,23,3,1,3,2,36,76,3,478,9.42,14-08-2033,Rarely,Video,19,1,2,Tech,Neutral,60.03
Karthik Nair,Startup,USA,1831,12629,7,1,25,1,4,4,8,301,14,39,427,3.92,15-08-2033,Monthly,Text,4,1,2,Finance,Neutral,50.55
Divya Menon,Microsoft,Germany,3979,2795,11,3,31,4,2,3,19,495,44,23,178,8.65,16-08-2033,Weekly,Article,11,0,2,Consulting,Positive,6.48
Shweta Bhattacharya,Freelancer,Germany,1892,1767,12,1,35,9,2,1,17,168,31,7,190,5.53,17-08-2033,Daily,Image,6,4,0,Finance,Neutral,60.56
Meera Rao,Amazon,Australia,4960,12615,9,3,45,7,0,3,3,66,34,20,412,4.5,18-08-2033,Monthly,Article,24,0,1,Education,Negative,65.67
Simran Kaur,Microsoft,Germany,195,717,6,1,37,1,2,4,5,437,6,33,317,9.49,19-08-2033,Weekly,Video,6,3,2,Consulting,Negative,96.56
Abhishek Tiwari,Microsoft,India,4315,257,10,3,28,1,3,2,19,396,13,21,127,3.87,20-08-2033,Rarely,Text,5,1,1,Education,Neutral,54.62
Aarav Sharma,Tesla,Germany,4422,16877,11,1,32,0,4,2,4,215,52,26,242,9.1,21-08-2033,Monthly,Image,24,4,1,Marketing,Positive,5.27
Pooja Choudhary,Tesla,USA,224,8180,14,1,8,6,1,1,14,155,42,7,344,3.25,22-08-2033,Weekly,Image,7,2,1,Education,Neutral,15.54
Priya Verma,Facebook,UK,896,9912,4,2,42,1,1,3,6,145,95,11,336,1.06,23-08-2033,Weekly,Article,27,3,1,Marketing,Negative,47.06
Shweta Bhattacharya,Google,Germany,4365,9186,1,1,36,7,4,1,18,320,55,29,499,9.42,24-08-2033,Monthly,Article,14,1,0,Consulting,Neutral,86.45
Manish Kulkarni,Microsoft,Canada,387,12089,3,1,30,0,3,2,15,168,98,25,48,6.18,25-08-2033,Weekly,Text,6,2,2,Finance,Positive,11.19
Swati Rajan,Google,India,543,6420,13,2,16,7,1,4,6,169,77,42,483,2.31,26-08-2033,Weekly,Image,13,3,1,Tech,Neutral,40.09
Aakash Sinha,Google,UK,2299,8799,14,3,32,7,0,4,13,103,37,43,237,9.8,27-08-2033,Daily,Article,1,2,2,Finance,Positive,96.66
Swati Rajan,Facebook,Australia,1292,6034,14,4,32,4,0,4,12,113,51,6,213,2.72,28-08-2033,Rarely,Video,24,4,2,Consulting,Neutral,74.72
Yashwant Joshi,Freelancer,India,3939,1673,11,4,6,9,0,2,14,30,48,27,428,0.98,29-08-2033,Daily,Text,11,0,2,Marketing,Positive,41.87
Varun Bhatia,Google,UK,3981,19727,13,4,12,0,0,2,2,146,10,25,23,5.59,30-08-2033,Daily,Article,5,1,2,Education,Neutral,76.75
Nitin Saxena,Google,Germany,1096,14353,6,3,18,5,0,1,6,401,73,35,300,2.4,31-08-2033,Monthly,Article,19,1,0,Education,Positive,43.12
Rajesh Gupta,Google,Canada,614,624,4,3,27,7,2,1,5,412,6,38,326,5.3,01-09-2033,Monthly,Text,17,1,0,Finance,Negative,57.76
Neha Malhotra,Amazon,Canada,2476,14932,9,4,15,4,2,3,6,222,40,7,283,6.52,02-09-2033,Daily,Article,12,2,1,Tech,Positive,26.26
Rahul Mishra,Google,Australia,3022,4963,1,3,14,3,0,3,4,421,69,25,113,6.74,03-09-2033,Rarely,Image,19,1,1,Tech,Neutral,38.45
Simran Kaur,Freelancer,Germany,4735,5159,5,1,41,1,4,3,4,335,45,44,357,5.1,04-09-2033,Weekly,Article,27,0,0,Finance,Neutral,77.46
Rohan Iyer,Microsoft,UK,1295,15814,4,2,30,1,2,2,10,223,46,21,238,3.52,05-09-2033,Weekly,Image,11,1,1,Healthcare,Positive,61.72
Aakash Sinha,Amazon,Canada,4059,4709,5,4,17,9,2,3,16,299,93,22,296,8.45,06-09-2033,Monthly,Image,14,2,1,Tech,Negative,13.34
Swati Rajan,Amazon,UK,2639,14298,13,3,15,1,2,1,19,173,65,22,458,0.88,07-09-2033,Monthly,Image,25,1,0,Education,Positive,88.73
Abhishek Tiwari,Freelancer,Germany,2023,5534,10,1,47,8,1,2,9,409,11,46,201,3.04,08-09-2033,Rarely,Image,6,0,2,Healthcare,Positive,78.83
Shweta Bhattacharya,Google,Germany,2936,18577,12,3,11,8,2,2,11,336,35,1,358,6.61,09-09-2033,Daily,Video,8,3,0,Marketing,Negative,2.1
Rahul Mishra,Google,Germany,1610,11272,9,2,9,1,4,1,2,82,84,31,419,6.73,10-09-2033,Daily,Video,28,4,1,Tech,Positive,53.63
Arjun Reddy,Google,India,1678,6187,10,4,49,7,1,4,18,479,1,29,267,1.48,11-09-2033,Weekly,Image,16,4,1,Tech,Negative,19.76
Aarav Sharma,Amazon,Canada,593,4553,10,2,44,1,1,4,3,244,41,8,240,3.74,12-09-2033,Rarely,Video,21,2,2,Healthcare,Positive,59.96
Meera Rao,Microsoft,Australia,4215,11326,2,3,39,9,3,2,16,42,1,14,123,1.22,13-09-2033,Weekly,Article,10,1,2,Healthcare,Positive,94.54
Pooja Choudhary,Google,India,542,15080,9,4,45,0,4,4,18,341,60,10,383,5.78,14-09-2033,Monthly,Video,16,2,2,Healthcare,Positive,4.14
Neha Malhotra,Amazon,Germany,3201,4824,3,1,12,0,0,2,1,202,45,7,76,9.36,15-09-2033,Monthly,Image,10,4,2,Healthcare,Neutral,75.98
Aniket Bose,Facebook,Germany,259,13450,12,4,23,9,2,4,13,308,98,30,494,8.83,16-09-2033,Weekly,Article,13,4,1,Consulting,Positive,57.08
Aakash Sinha,Amazon,USA,2961,13969,2,4,17,9,4,2,8,367,62,47,205,3.35,17-09-2033,Monthly,Image,28,3,0,Tech,Negative,33.05
Pooja Choudhary,Startup,UK,3283,19941,3,2,11,9,0,2,18,320,25,9,68,3.2,18-09-2033,Rarely,Video,16,2,2,Marketing,Positive,87.49
Rajesh Gupta,Freelancer,India,2732,17295,1,1,27,6,1,3,5,388,44,2,21,5.73,19-09-2033,Monthly,Article,20,2,0,Finance,Positive,65.63
Nidhi Goel,Facebook,UK,749,6267,9,2,37,6,1,3,4,343,22,33,211,5.57,20-09-2033,Weekly,Image,20,0,0,Finance,Negative,41.02
